ID;REQUISITO;OPERAÇÃO;RESULTADO ESPERADO;COMENTÁRIO DO CLIENTE;STATUS;RISCOS/AÇÕES;;;;
1;Usuario deve entrar no site www.hoyolab.com               (Tela Inicial);"Inserir o endereco ""www.hoyolab.com"" e entrar no site";Ira abrir o site hoyolab e mostra a tela inicial.;;OK;;;;;
2;Usuario deve entrar na tela de login (Tela de Login);"Clicar no botao ""Login"" e entrar na tela de login.";Ira abrir a tela de login para iniciar sessao.;;OK;;;;;
3;Usuario deve acessar o conteudo da pagina inicial (tela inicial);Clicar em qualquer conteudo da pagina inicial ;Ira abrir a tela de login para iniciar sessao.;De preferencia clicar em conteudo que deve possuir a conta registrado como por exemplo: curtir, comentar, publicar, acessar conteudo envolvido com dados de jogos.;OK;;;;;
4;"Usuario deve estar aberto a tela de login e inserir EMAIL no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e inserir o email.";"Sera preenchido o email inserido no campo ""Usuario/Email""";;OK;;;;;
5;"Usuario deve estar aberto a tela de login e inserir NOME DE USUARIO no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e inserir o nome de usuario.";"Sera preenchido o nome de usuario inserido no campo ""Usuario/Email""";Nome de usuario é criado apos o cadastro de conta;OK;;;;;
6;"Usuario deve estar aberto a tela de login e inserir NADA no campo ""Usuario/Email"" (Tela de login)";"Clicar no campo ""Usuario/Email"" e clicar fora do campo ""Usuario/Email""";"Aparecera mensagem de erro (em cor vermelha) ""O nome de usuário não pode ficar vazio.""";Inserindo no minimo 1 caractere, nao aparece este erro.;OK;;;;;
7;"Usuario deve estar aberto a tela de login e inserir SENHA no campo ""Senha"" (Tela de Login)";"Clicar no campo ""Senha"" e inserir a senha.";"Sera preenchido a senha inserido no campo ""Senha"" e exibido em caractere oculta "".........""";;OK;;;;;
8;"Usuario deve estar aberto a tela de login, inserir SENHA no campo ""Senha"" e mostrar a senha (Tela de Login)";"Clicar no campo ""Senha"", inserir a senha e clicar no botao com simbolo de olho fechado.";"Sera preenchido a senha inserido no campo ""Senha"" e nao exibir em caractere oculta.";Apertando botao pode mostrar a senha em qualquer momento ;OK;;;;;
9;"Usuario deve estar aberto a tela de login e inserir NADA no campo ""Senha"" (Tela de Login)";"Clicar no campo ""Senha"" e clicar fora do campo ""Senha""";"Aparecera mensagem de erro (em cor vermelha) ""A senha não pode ficar vazia""";Inserindo no minimo 1 caractere, nao aparece este erro.;OK;;;;;
10;"Usuario deve estar aberto a tela de login, ja inserido os DADOS nos campos ""Usuario/Email"" e ""Senha"" e fazer login (Tela de login)";"Clicar e inserir dados nos campos ""Usuario/Email"" e ""Senha"", clicar no botao login.";Ira verificar se os dados preenchidos estao corretas e redirecionar para tela inicial com a sessao iniciada.;;OK;;;;;
11;Caso o Usuario conclua a verificacao de robo, QUANDO SE aparecer verificacao de robo apos a tentativa de login da ID: 10 (Tela de login) ;"Clicar e inserir dados nos campos ""Usuario/Email"" e ""Senha"", clicar no botao login e fazer procedimento de verificacao de robo.";Ira verificar que o usuario nao é robo, ver se dados preenchidos estao corretas e redirecionar para tela inicial com a sessao iniciada.;;OK;;;;;
12;Caso o Usuario falha na verificacao de robo, QUANDO SE aparecer verificacao de robo apos a tentativa de login da ID: 10 (Tela de login) ;"Clicar e inserir dados nos campos ""Usuario/Email"" e ""Senha"", clicar no botao login e errar 5 vezes no procedimento de verificacao de robo.";"Saira da tela de verificacao e aparecera mensagem de erro ""A verifcacao falhou, tente novamente""";Nao esta descrito o numero de tentativa, mas apos 5 tentativas ele sai da tela de verificacao;OK;;;;;
13;"Usuario deve estar aberto a tela de login, ja inserido os DADOS INCORRETOS nos campos ""Usuario/Email"" e ""Senha"" e fazer login (Tela de login)";"Clicar e inserir dados incorretos nos campos ""Usuario/Email"" e ""Senha"", clicar no botao login.";"Ira verificar que os dados estao incorretos e aparecera mensagem de erro ""Conta ou senha incorreta""";;OK;;;;;
14;Caso o usuario nao preenche NADA nos campos e tenta fazer login (Tela de login);"Clicar no botao login sem preencher os dados nos campos ""Usuario/Email"" e ""Senha"".";"Nao ira deixar apertar o botao login e o mouse ficara com icone de ""nao é possivel de clicar""";;OK;;;;;
15;Usuario deve possuir conta em plataformas externas para fazer login (Tela de login).;Clicar em plataforma externa que possui a conta e preencher os dados validos e fazer login.;Ira verificar se os dados inseridos se estao corretas e vai autenticar a conta externa para fazer login redirecionando para a página inicial da plataforma.                                               ;;OK;;;;;
16;Caso usuario possui conta em plataformas externas para fazer login, mas nao esta cadastrado na hoyolab (Tela de login);Clicar em plataforma externa que possui a conta e preencher os dados validos e fazer login.;Ira verificar que não esta cadastrado esta conta externa e exibirá mensagem de erro que os dados estao incorretas ou conta inexistente.;;OK;;;;;
17;Usuario deve estar aberto a tela de login e fazer CADASTRO da conta (Tela de login);"Clicar no botao ""Registre-se agora"" e entrar na tela de cadastro.";Ira abrir a tela de cadastro para criar conta.;Ir para tela de cadastro existe apenas este procedimento.;OK;;;;;
18;Caso o usuario esquece a senha da conta e deseja recuperar (Tela de login);"Clicar no botao ""Esqueceu a senha"", inserir o email da conta e inserir a nova senha pelo link que recebeu no email ";Ira receber link da renovacao da senha que chegara no email inserido e ira salvar a nova senha inserido.;Chegara email apenas para contas que ja existe.;OK;;;;;
19;Usuario deve estar aberto a tela de cadastro e fazer LOGIN da conta (Tela de cadastro);"Clicar no botao ""Já possui uma conta? Login"" e entrar na tela de login.";Ira abrir novamente a tela de login.;Sera mais pro caso de usuario foi fazer cadastro e ja possui a conta.;OK;;;;;
20;"Usuario deve estar aberto a tela de cadastro e inserir EMAIL no campo ""E-mail"" (Tela de cadastro)";"Clicar no campo ""E-mail"" e inserir o email.";"Sera preenchido o email inserido no campo ""E-mail""";;OK;;;;;
21;"Usuario deve estar aberto a tela de cadastro, ja inserido o EMAIL no campo ""E-mail"" e VERIFICAR O EMAIL (Tela de cadastro)";"Clicar e inserir email no campo ""E-mail"", clicar no botao ""enviar"" e inserir o codigo recebido no campo ""codigo de verificacao"".";"Ira verificar se o email é valido sera enviado email com codigo de verificacao para o usuário e aparecera o codigo inserido no campo ""codigo de verificacao"".";;OK;;;;;
22;Caso o usuario insira EMAIL JA CADASTRADO na plataforma e verificar o email (Tela de cadastro);"Clicar e inserir email ja cadastrado no campo ""E-mail"", clicar no botao ""enviar""";Ira verificar que ja existe conta com este email e mostrara mensagem que ja existe esta conta e pergunta se deseja fazer login.;;OK;;;;;
23;"Usuario deve estar aberto a tela de cadastro e inserir NADA no campo ""Usuario/Email"" (Tela de cadastro)";"Clicar no campo ""E-mail"" e clicar fora do campo ""E-mail""";"Aparecera mensagem de erro (em cor vermelha) ""O e-mail não pode ficar em branco""";;OK;;;;;
24;"Usuario deve estar aberto a tela de cadastro e inserir SENHA no campo ""Insira a Senha"" (Tela de cadastro)";"Clicar e inserir senha no campo ""Insira a Senha""";"Sera preenchido a senha inserido no campo ""Insira a Senha"" e exibido em caractere oculta "".........""";;OK;;;;;
25;"Caso o usuario(ID: 23) insira a senha menos que 6, mais de 30 caracteres, sem combinação de números, letras e símbolos no campo ""Insira a Senha"" (Tela de cadastro)";"Clicar no campo ""Insira a Senha"" e inserir senha menos que 6, mais de 30 caracteres, sem combinação de números, letras e símbolos.";"Sera preenchido a senha inserido no campo ""Insira a Senha"", exibido em caractere oculta ""........."" e com mensagem de erro ""A senha deve ser uma combinação de números, letras e símbolos (8-30 caracteres)""";;OK;;;;;
26;"Usuario deve estar aberto a tela de cadastro e inserir MESMA SENHA do campo ""Insira a Senha"" no campo ""Insira a Senha novamente"" (Tela de cadastro)";"Clicar no campo ""Insira a Senha"" e inserir mesma senha de campo acima ";"Sera preenchido a senha inserido no campo ""Insira a Senha novamente"" e exibido em caractere oculta "".........""";;OK;;;;;
27;"Caso o usuario nao preenche NADA nos campos ""Insira a Senha"" e ""Insira a Senha novamente"" (Tela de cadastro)";"Clicar no campo ""Insira a Senha"" ou ""Insira a Senha novamente"" e clicar fora dos campos";"Aparecera mensagem de erro (em cor vermelha) nos campos respectivamente: ""A senha não pode ficar vazia"" e/ou ""A confirmação da senha não pode ficar em branco.""";;OK;;;;;
28;"Usuario deve estar aberto a tela de cadastro, inserir SENHA no campo ""Insira a Senha"" e/ou ""Insira a Senha novamente"" e mostrar a senha (Tela de cadastro)";"Clicar e inserir no campo ""Insira a Senha"", ou ""Insira a Senha novamente"" e clicar no botao com simbolo de olho fechado.";"Sera preenchido a senha inserido no campo ""Insira a Senha"" e/ou ""Insira a Senha novamente"" e nao exibindo em caractere oculta "".........""";Apertando botao pode mostrar a senha em qualquer momento;OK;;;;;
29;Usuario deve preencher TODOS OS CAMPOS, aceitar o termo de uso e fazer cadastro (Tela de cadastro);"Preencher os campos ""E-mail"", ""Verificar E-mail"", ""Insira a senha"", ""Insira a Senha novamente"", clicar em aceitar o ""termo de uso"" e clicar no botao ""Registrar-se""";Ira verificar se os dados preenchidos estao corretas, ira criar nova conta e  redirecionar para tela inicial com a sessao iniciada.;So é possivel aceitar o termo quando todos campos preenchidos e se foi verificado o email;OK;;;;;
30;"Caso o usuario nao preenche NADA nos campos ""E-mail"", ""Codigo de verificacao"", ""Insira a Senha"", ""Insira a Senha novamente"" e fazer cadastro (Tela de cadastro)";"Clicar no botao ""Registrar-se"" sem preencher os dados nos campos ""E-mail"" ""Codigo de verificacao"", ""Insira a Senha"", ""Insira a Senha novamente"".";"Nao ira deixar apertar o botao ""Registrar-se"" e o mouse ficara com icone de ""nao é possivel de clicar""";;OK;;;;;
31;Usuario deve possuir conta em plataformas externas para fazer cadastro (Tela de cadastro).;Clicar em plataforma externa que possui a conta e preencher os dados validos e fazer login desta conta.;Ira verificar se os dados inseridos se estao corretas, vai autenticar a conta externa e sera criado a conta sendo redirecionando para a página inicial da plataforma.                                               ;;OK;;;;;
32;;;;;;;;;;
33;;;;;;;;;;
34;;;;;;;;;;
35;;;;;;;;;;
